route_id,stop_id,lateness,scheduled_headway,time_point_order,earliness,actual,scheduled,point_type,standard_type,direction,pct_white,pct_black,pct_asian,pct_hispanic
131,9230,5.486365888181175,83.80023781212842,5.219553256138622,-340.34635691657866,1900-01-01 06:11:35+00:00,1900-01-01 06:14:00+00:00,Midpoint,Schedule,outbound,,,,
131,9233,5.682989697966297,83.68906064209274,6.22125056451944,-351.7267987486966,1900-01-01 06:13:26+00:00,1900-01-01 06:15:00+00:00,Midpoint,Schedule,outbound,,,,
131,9328,4.666375999878573,83.59185493460167,3.9891869088325413,-300.844575672714,1900-01-01 06:44:15+00:00,1900-01-01 06:44:00+00:00,Endpoint,Schedule,inbound,,,,
132,13,1.2309523809523808,,,,1900-01-01 22:11:56+00:00,1900-01-01 22:11:00+00:00,Pullout,,inbound,0.8618119266055045,0.020068807339449542,0.0194954128440367,0.07282110091743119
132,19,5.929166666666666,,,,1900-01-01 07:24:49+00:00,1900-01-01 06:29:00+00:00,Pullout,,inbound,0.6447480785653288,0.07643040136635354,0.15627668659265584,0.11272416737830913
132,5072,3.706827581563558,47.40261520615839,3.078985757396911,-171.27025351763467,1900-01-01 07:18:07+00:00,1900-01-01 06:26:00+00:00,Endpoint,Schedule,inbound,,,,
132,5980,3.385111284428846,45.76808080808081,3.0018278427205103,-250.14952929348323,1900-01-01 06:19:11+00:00,1900-01-01 06:14:00+00:00,Midpoint,Schedule,inbound,,,,
132,5991,3.6796599360083015,45.646262626262626,4.002591939493085,-259.2034889030962,1900-01-01 06:23:06+00:00,1900-01-01 06:19:00+00:00,Midpoint,Schedule,inbound,,,,
132,9326,2.660431862497292,49.507498897221,2.001090335452141,-117.3181726502622,1900-01-01 05:34:02+00:00,1900-01-01 05:32:00+00:00,Midpoint,Schedule,outbound,,,,
132,15975,3.4657263695803975,49.466254962505516,3.0017797295735584,-217.6235718580878,1900-01-01 05:36:22+00:00,1900-01-01 05:35:00+00:00,Midpoint,Schedule,outbound,,,,
132,15986,4.230493109235751,49.57653286281429,4.002566177320541,-261.6729981005698,1900-01-01 05:44:20+00:00,1900-01-01 05:41:00+00:00,Midpoint,Schedule,outbound,,,,
132,15989,3.7809367001236667,49.52095280105867,5.003364269141532,-428.4689606243349,1900-01-01 06:00:12+00:00,1900-01-01 05:48:00+00:00,Endpoint,Schedule,outbound,,,,
